iter	Passed	Remaining
0	56	56869
1	57	28617
2	57	19148
3	57	14411
4	58	11589
5	58	9718
6	59	8372
7	59	7376
8	59	6580
9	60	5949
10	60	5426
11	60	4999
12	61	4633
13	61	4329
14	61	4054
15	62	3816
16	62	3608
17	62	3418
18	63	3255
19	63	3107
20	63	2976
21	64	2849
22	64	2742
23	64	2639
24	65	2546
25	65	2456
26	65	2374
27	66	2322
28	67	2253
29	67	2185
30	67	2120
31	68	2061
32	68	2006
33	68	1956
34	69	1908
35	69	1862
36	69	1817
37	70	1778
38	70	1738
39	70	1700
40	71	1665
41	71	1631
42	71	1599
43	72	1570
44	72	1538
45	72	1508
46	72	1479
47	73	1453
48	74	1439
49	74	1417
50	74	1394
51	75	1373
52	75	1352
53	76	1332
54	76	1314
55	76	1294
56	77	1274
57	77	1257
58	77	1239
59	78	1222
60	78	1204
61	78	1189
62	79	1175
63	79	1161
64	79	1150
65	80	1137
66	80	1125
67	80	1108
68	81	1096
69	81	1086
70	82	1074
71	82	1063
72	82	1051
73	83	1040
74	83	1029
75	83	1018
76	84	1007
77	84	996
78	84	987
79	85	985
80	85	975
81	86	966
82	86	959
83	87	949
84	87	940
85	87	931
86	87	921
87	88	913
88	88	905
89	88	898
90	89	890
91	89	883
92	89	877
93	90	871
94	90	865
95	91	858
96	91	852
97	91	845
98	92	839
99	92	832
100	92	827
101	93	819
102	93	813
103	93	807
104	94	802
105	94	797
106	94	792
107	95	787
108	95	781
109	95	776
110	96	770
111	96	765
112	96	760
113	97	754
114	97	749
115	97	743
116	97	738
117	98	734
118	98	729
119	98	724
120	99	721
121	99	716
122	99	710
123	100	706
124	100	702
125	100	698
126	101	694
127	101	690
128	101	686
129	102	683
130	102	679
131	102	677
132	103	672
133	103	669
134	103	665
135	104	662
136	104	659
137	105	655
138	105	652
139	105	648
140	106	646
141	106	643
142	106	640
143	107	637
144	107	635
145	108	633
146	108	630
147	108	627
148	109	623
149	109	621
150	109	617
151	110	614
152	110	612
153	111	609
154	111	606
155	111	603
156	111	601
157	112	598
158	112	596
159	113	594
160	113	591
161	113	589
162	114	587
163	114	584
164	114	581
165	115	579
166	115	576
167	116	574
168	116	572
169	116	570
170	117	567
171	117	565
172	117	563
173	118	561
174	118	560
175	119	558
176	119	556
177	120	554
178	120	552
179	120	550
180	121	547
181	121	545
182	121	543
183	122	541
184	122	540
185	123	538
186	123	536
187	124	537
188	124	534
189	125	533
190	125	530
191	125	528
192	125	526
193	126	523
194	126	522
195	126	519
196	127	518
197	127	516
198	127	514
199	128	512
200	128	510
201	128	508
202	129	507
203	129	505
204	130	504
205	130	503
206	130	501
207	131	500
208	131	498
209	132	497
210	132	495
211	132	493
212	133	492
213	133	491
214	134	489
215	134	488
216	134	486
217	135	485
218	135	483
219	135	481
220	136	480
221	136	478
222	136	476
223	137	474
224	137	473
225	137	471
226	139	474
227	139	473
228	140	471
229	140	469
230	140	467
231	140	466
232	141	464
233	141	462
234	141	461
235	142	460
236	142	459
237	143	457
238	143	456
239	143	454
240	143	453
241	144	452
242	144	451
243	145	449
244	145	448
245	145	447
246	146	445
247	146	444
248	146	442
249	147	441
250	147	440
251	147	439
252	148	437
253	148	436
254	148	435
255	149	434
256	149	432
257	150	431
258	150	430
259	150	429
260	151	428
261	151	427
262	152	426
263	152	425
